baseMean log2FoldChange lfcSE stat pvalue padj weight
chr1_169443229_169443466 65.800780508858 5.17852332723067 0.576356819758295 8.984925916904 2.58908663749078e-19 1.21983416587224e-14 4.70110458766979
chr1_244815880_244816787 207.826946663618 0.968654677111027 0.120690860422367 8.02591574640489 1.00771368545617e-15 2.37389426281963e-11 4.70110458766979
chr20_61199590_61201281 71.4328653177188 -1.52007401824153 0.195577753750521 -7.77222352282732 7.71202026488588e-15 1.49634699626458e-10 3.80512312704137
chr1_214386199_214386921 62.58177591251 1.71142767607381 0.228545268333652 7.4883531326289 6.97431704982955e-14 7.8444940403208e-10 4.92301184571865
chr1_249131852_249133592 293.949400961359 0.79344658536375 0.106522480585428 7.44863038302444 9.43141935041212e-14 8.88712443199748e-10 4.70110458766979
chr5_154782469_154783453 62.169198171067 1.51095839165683 0.207248529302276 7.29056267247652 3.08663178991045e-13 2.31449803688033e-09 4.92301184571865
chr20_26189689_26190566 740.483166834852 1.45079215187041 0.203377852512512 7.13348151702585 9.7861455904389e-13 5.1733000274324e-09 5.98549523606804
chr11_109566486_109567911 67.0506799627806 1.4692723167257 0.20578163402453 7.1399584500848 9.3359135130354e-13 5.25037199991837e-09 4.92301184571865
chr11_133814876_133815911 66.7471382186248 1.38980318022171 0.195842745289733 7.09652623672943 1.27931669379942e-12 5.26004659475531e-09 5.98549523606804
chr3_68708135_68708352 31.2384606578942 4.17261438313136 0.593112674613329 7.03511248659732 1.99100314234313e-12 1.42078904522003e-08 3.10381958166976
chr1_246729121_246730423 179.436756437988 0.819202229021113 0.120664087214803 6.78911387746041 1.12824361612861e-11 3.25691039706823e-08 5.98549523606804
chr10_124250671_124251307 48.6256873459823 1.62498706451969 0.237614538890156 6.83875267948519 7.98856617351614e-12 3.25691039706823e-08 4.17901372314467
chr8_141598826_141599846 70.1809663495459 1.39626829878653 0.205155177610017 6.80591304130144 1.00410352728666e-11 3.25691039706823e-08 6.06136244800336
chr1_249200146_249201318 113.338715297913 1.09252047357159 0.161129735497253 6.78037775088524 1.19862064363168e-11 4.03374023832455e-08 4.70110458766979
chr6_80656438_80657844 51.1946763680491 1.4935140968582 0.223106372366167 6.69417946703472 2.16885114080334e-11 7.68245792831583e-08 4.16862106423833
chr1_145442937_145444897 63.8321433977742 -1.4726762730578 0.221995328721081 -6.6338164930853 3.27116472630914e-11 8.65718574124146e-08 4.92301184571865
chr5_129865437_129866224 58.2757761105715 1.4637633396053 0.221351137916733 6.61285662852989 3.76973523966619e-11 8.65718574124146e-08 5.98549523606804
chr1_243418140_243419731 230.053137378171 0.838115754761235 0.126161834513415 6.64317983321744 3.06986899117078e-11 9.4048451625975e-08 3.80512312704137
chr3_4947772_4948555 40.9643990366747 1.9335339571689 0.291473973534063 6.6336418779529 3.27503874465703e-11 9.4048451625975e-08 4.17901372314467
chr21_11122213_11122777 15.4697594718895 -2.97309235224583 0.447932105263438 -6.63737275651919 3.19323404504084e-11 1.10155486200114e-07 3.21032312158849
chr3_166161883_166163032 49.7588206043244 1.44254747401058 0.222505532357383 6.48319823209427 8.97983869847647e-11 2.38176137910287e-07 3.97653780172579
chr5_82768770_82770677 106.484113955509 1.02436226049402 0.159981906160649 6.40298821958892 1.52364953486737e-10 2.56281015542823e-07 5.98549523606804
chr2_20412091_20413387 82.2465175715007 1.12175415017477 0.174913101037116 6.41320829328124 1.42488623330416e-10 2.91881496589306e-07 4.70110458766979
chr4_52708708_52710152 130.210537338978 0.997760533292032 0.159921935283638 6.23904739223172 4.4024361153458e-10 6.70294552553625e-07 6.06136244800336
chr8_140489552_140490646 52.0657470500526 1.37431090660969 0.219174718587637 6.27038973959111 3.60145503487977e-10 7.6351630171271e-07 4.17901372314467
chr1_224690589_224691986 139.10458122736 0.860614079454018 0.13929977417569 6.17814411076201 6.48594991850739e-10 7.90195256536555e-07 6.06136244800336
chr2_184149251_184150085 33.4479226940572 1.8827952682155 0.300941718881928 6.25634516613564 3.94103991161827e-10 7.90195256536555e-07 4.17901372314467
chr5_121593658_121594756 37.4964938242502 1.70013960835929 0.270815293942779 6.27785670302104 3.43272061167557e-10 7.90195256536555e-07 3.10381958166976
chr5_151150349_151151934 288.010916154085 0.644364355731322 0.103523738649425 6.22431496522176 4.83664578528662e-10 7.90195256536555e-07 4.92301184571865
chr7_83505906_83506331 26.4866552785114 2.25146658802339 0.360984197709837 6.23702256859769 4.45977668803353e-10 7.90195256536555e-07 4.18162701614218
chr8_128961392_128962746 149.192426263776 0.830357492682972 0.133559603795533 6.21713054760309 5.06328498061525e-10 7.90195256536555e-07 4.70110458766979
chr19_679647_681487 91.4060006353088 -0.966421367659804 0.157132524716271 -6.15035855501489 7.73079761300541e-10 8.87233267206722e-07 5.98549523606804
chr5_118405869_118407566 186.078303776698 0.793016992215956 0.128369441138651 6.17761505527957 6.50771484872245e-10 8.87233267206722e-07 4.92301184571865
chr1_236958151_236959478 158.742239186368 0.830755035452222 0.133882409819752 6.20510966728701 5.46587732125542e-10 9.35764082717374e-07 3.80512312704137
chr12_6721865_6723727 54.8708169094774 -1.4171901984061 0.22891620351317 -6.19086887103896 5.98334705723371e-10 9.95088159876353e-07 3.80512312704137
chr4_91048210_91050039 58.0323893991942 1.33197580286818 0.215331732554776 6.18569212751472 6.18305772284216e-10 9.99738020813137e-07 3.80512312704137
chr8_49413809_49414660 50.8244289573598 1.45519705233519 0.236603627244208 6.15035817195323 7.73081628540087e-10 1.11015938122241e-06 4.16862106423833
chr3_75483967_75485418 96.1168162503287 1.03678575391586 0.170655600634937 6.07531045016057 1.23748076520379e-09 1.20506061946373e-06 5.98549523606804
