"X100Pa_3D_Rep1"	"X100Pa_3D_Rep2"	"X100Pa_3D_Rep3"	"X2000Pa_3D_Rep1"	"X2000Pa_3D_Rep2"	"X2000Pa_3D_Rep3"
"chr19_50836560_50837252"	2.4039061287117	2.73422649602911	2.485861392791	4.02555270110367	3.14606079319255	3.45906575303118
"chr17_25959509_25960226"	2.20170409206978	2.65898499389144	2.31903603770688	3.33439181811754	2.74297235870696	3.9421032334573
"chr11_70037665_70038050"	2.69085023937855	2.48783803930603	2.64717347589929	3.81151468665835	3.9646223767629	3.48830631246556
"chr17_74630127_74630456"	2.04383277457523	2.45988813273108	2.14943075248133	3.37227216812397	2.6222622878114	3.54285565130261
"chr13_76345984_76346283"	1.24797584614682	1.36048910729171	1.27431772998248	1.87064443390993	2.30199637333989	2.91856451571353
"chr9_118430867_118431316"	2.45852267715952	2.73089210157117	2.52506735950104	4.11580609445053	3.3024273624649	3.38241864427758
"chr12_101921566_101921779"	1.49137748749193	1.78265755795621	1.56290108384953	2.73874288289366	2.25320859549392	2.86486057866958
"chr6_37112145_37112702"	1.49137748749193	1.78265755795621	1.56290108384953	2.73874288289366	2.25320859549392	2.86486057866958
"chr20_48166058_48166531"	2.66565107365095	2.94751016547966	2.73468824546768	3.99269665717587	3.44143610955093	3.94843267574027
"chr12_39858849_39859306"	1.5873516137494	1.71298978513491	1.61686967216764	2.34773880596979	2.5978547520476	3.16040200861899
"chr8_22004017_22004243"	2.23844691815681	2.28816959679706	2.2498942663791	3.66981295510857	3.31698785832622	3.06499891124067
"chr22_22151269_22151450"	0.800179999256033	1.13711190708947	0.883922423658979	2.03512521296927	1.50202891247869	2.25958014438797
"chr5_54131512_54131907"	1.47182547244799	1.7554485006741	1.5413272807434	3.05138645084054	2.2795340683813	2.50057075218694
"chr4_150648774_150649296"	1.80106979081842	2.00040082160284	1.8488318324185	3.34239783754749	2.71946319780695	2.73587587913731
"chr19_4872684_4873054"	2.59472792896835	2.87017172431967	2.66207878045686	3.25269697162665	3.49692790975779	4.45856362364614
"chr22_43335645_43335869"	1.54980331177388	2.1515608859103	1.71018135125711	3.35400519277752	1.82906456233902	2.91464040355176
"chr2_84936206_84936671"	1.86636736615559	1.7505505613449	1.84086041453403	2.90531187615372	3.06594267879495	2.86354525231119
"chr11_112209334_112209714"	1.38776438622406	2.00224179440739	1.55207831000854	3.08259751647066	1.61621146783697	2.89414848636733
"chr1_111948907_111949429"	1.81829373574447	1.60901878495882	1.77334517319279	3.21449099398994	3.14266081611263	2.33084117104689
"chr22_50157262_50157694"	2.4812739843047	2.64658151964678	2.52052574166029	3.34459671220802	3.43488074120549	4.02139514552661
"chr7_112706969_112707265"	1.12479370439896	0.971586589996794	1.09138879754443	2.13655016304556	2.3551259758684	2.10104583082887
"chr4_74122932_74123245"	2.5351757810807	2.75136437416106	2.58721037255698	3.89698819417253	3.40294776196551	3.68363502218745
"chr4_38299798_38300053"	1.70902370605776	2.05386131475855	1.79491096906142	3.42772597696754	2.46039952560853	2.6906581163325
"chr14_32399687_32399921"	1.39863995616774	1.97607805541483	1.55155937480929	3.05944494149094	1.70207947643443	2.8677355037646
"chr4_15755156_15755510"	2.04196191698112	1.97692287102519	2.02744166074748	3.04647446679837	3.19826131223281	3.14048906981864
"chr6_58287289_58287919"	1.19629393417994	1.42728840801263	1.25211190048597	2.79384146625288	2.08626791796218	2.12339931782214
"chr17_25938306_25938722"	2.62634116191783	2.91243206289876	2.69649373228897	4.14898474621643	3.42018197293853	3.72195265966996
"chr4_41843381_41843546"	0.892617049741635	1.28271663101215	0.990949749850419	2.76639122028131	1.62736614508092	1.77806763315097
"chr19_46066015_46066427"	1.89016157473155	2.12855324513484	1.94788060727112	2.84685416217885	2.75210598588985	3.45478934116681
"chr1_55166547_55167014"	2.71806781715741	2.80136940805056	2.73741888305328	3.9775723885516	3.73771706237515	3.77384109677538
"chr18_57373781_57374186"	2.0550513724487	2.40685997038849	2.14283699793384	3.8126185254835	2.80987004879725	3.0082374213116
