"X100Pa_3D_Rep1"	"X100Pa_3D_Rep2"	"X100Pa_3D_Rep3"	"X2000Pa_3D_Rep1"	"X2000Pa_3D_Rep2"	"X2000Pa_3D_Rep3"
"chr3_99550708_99551207"	2.58496250072116	3.16992500144231	1	3.8073549220576	3.4594316186373	3
"chr3_71105398_71105830"	2.58496250072116	2.58496250072116	1	2.8073549220576	4.08746284125034	3
"chr1_59186389_59186847"	2	3.32192809488736	1	3.32192809488736	3.32192809488736	3
"chr4_36197803_36198120"	1	2.32192809488736	0	2.32192809488736	2.32192809488736	2
"chr12_52827360_52827688"	0	2.32192809488736	1.58496250072116	2	3.32192809488736	3
"chr16_85672749_85673720"	3.8073549220576	4	3.4594316186373	5.4594316186373	5.08746284125034	5.61470984411521
"chr4_190002775_190003367"	3	2.8073549220576	1.58496250072116	3.58496250072116	4.24792751344359	3.70043971814109
"chr12_24380572_24380922"	2.58496250072116	3.16992500144231	1	3.4594316186373	3.32192809488736	3.4594316186373
"chr5_92258144_92258429"	1	3.16992500144231	1.58496250072116	3.16992500144231	3.32192809488736	3.16992500144231
"chr8_134053416_134053691"	2.8073549220576	3	1	3.16992500144231	3.16992500144231	4.08746284125034
"chr4_186475465_186476096"	1	2.32192809488736	1	2	3	3.32192809488736
"chr14_46118344_46118575"	2	0	1	3	3.4594316186373	2.58496250072116
"chr4_7530854_7531350"	3.32192809488736	2.58496250072116	1.58496250072116	4.58496250072116	3.70043971814109	3.8073549220576
"chr6_152709572_152709887"	2	1.58496250072116	1	3	3.32192809488736	3
"chr14_95933747_95934346"	2.58496250072116	3.58496250072116	2.32192809488736	4.08746284125034	4	4.64385618977472
"chr3_32469510_32470533"	2.32192809488736	4.08746284125034	3.16992500144231	4.90689059560852	4.32192809488736	4.95419631038687
"chr16_68479408_68479753"	3	2.58496250072116	1	3.16992500144231	3.70043971814109	3.58496250072116
"chr16_1353356_1353945"	3.16992500144231	4.24792751344359	3.32192809488736	4.8073549220576	5.12928301694497	5.24792751344359
"chr3_17156641_17157100"	1.58496250072116	1.58496250072116	1.58496250072116	3.16992500144231	3	3.90689059560852
"chr5_146467167_146467416"	0	1	1	2	2.8073549220576	2.32192809488736
"chr17_78149221_78149668"	2	1.58496250072116	1.58496250072116	3.4594316186373	3	4.08746284125034
"chr12_5306890_5307422"	2.58496250072116	3	2	4.52356195605701	4	3.58496250072116
"chr1_113862985_113863218"	2.32192809488736	2.32192809488736	0	2.58496250072116	3	2.32192809488736
"chr6_25479144_25479465"	2.32192809488736	2.32192809488736	0	2.58496250072116	3	2.32192809488736
"chr6_138323002_138323385"	2.32192809488736	2.32192809488736	0	2.58496250072116	3	2.32192809488736
"chr8_49260115_49260731"	2.32192809488736	3.16992500144231	1.58496250072116	3.32192809488736	4	3.58496250072116
"chr12_51520959_51521418"	2	3	1.58496250072116	3.32192809488736	3.8073549220576	3.4594316186373
"chr12_108717678_108718093"	2.8073549220576	3.32192809488736	2	3.90689059560852	4.24792751344359	4.08746284125034
"chr2_180995206_180995470"	2	3.16992500144231	0	1.58496250072116	3.32192809488736	2.58496250072116
"chr12_125066569_125067090"	2	3.90689059560852	2	3.70043971814109	3.58496250072116	4.32192809488736
"chr13_112926603_112927302"	3	2.8073549220576	1.58496250072116	3.90689059560852	3.70043971814109	4.08746284125034
"chr19_49559222_49559928"	3.32192809488736	3.4594316186373	2.32192809488736	4.70043971814109	4.39231742277876	4.39231742277876
"chr21_38929804_38930077"	2	1.58496250072116	1	2.8073549220576	3.4594316186373	3
"chr17_53311303_53311530"	2.8073549220576	2	0	2.58496250072116	2.8073549220576	3
"chr5_58884825_58885110"	2.8073549220576	2	0	2.58496250072116	2.8073549220576	3
"chr7_44202470_44202761"	2.32192809488736	3	1	3.4594316186373	3.8073549220576	2.58496250072116
"chr4_3621501_3621871"	3.70043971814109	2.58496250072116	1	3.4594316186373	4	3.70043971814109
"chr9_98196621_98197012"	2.8073549220576	2.8073549220576	1	3.32192809488736	3.4594316186373	3.58496250072116
"chr16_57458319_57458569"	2	1.58496250072116	1	3.4594316186373	3	3
"chr5_11318123_11318576"	1	2.8073549220576	1.58496250072116	3.32192809488736	3.16992500144231	3.16992500144231
"chr13_52108156_52108501"	0	2.32192809488736	1.58496250072116	2.8073549220576	3.32192809488736	2.32192809488736
"chr12_74740855_74741044"	0	0	0	2.32192809488736	2	1
"chr16_84548652_84548967"	2.58496250072116	3	1	2.32192809488736	4	3.58496250072116
